state,age_0_5,age_5_17,age_18_greater,total_enrolments,demo_age_5_17,demo_age_17_,total_demographic_updates,bio_age_5_17,bio_age_17_,total_biometric_updates,population_2011,population_density_2011,literacy_rate_2011,per_capita_gsdp,migration_persons_2011,population_18_plus_share,demo_updates_per_million,biometric_updates_per_million
Andaman And Nicobar Islands,479,32,0,511,617,6629,7246,11806,8892,20698,,,86.6,,,,,
Andhra Pradesh,112445,13746,1495,127686,321148,1974434,2295582,2241467,1473166,3714633,49386799.0,308.0,67.0,270295.0,140.0,0.6836464038270863,46481.69240529236,75215.0994843784
Arunachal Pradesh,1957,2236,151,4344,5783,30660,36443,42894,29500,72394,1383727.0,17.0,65.4,225770.0,143.0,0.5731143712496871,26336.84245519528,52318.12344487027
Assam,141235,66085,22877,230197,84480,928098,1012578,596624,386098,982722,31205576.0,398.0,72.2,158807.0,158.0,0.6123692842396669,32448.623925416407,31491.871837263956
Bihar,262875,334802,11908,609585,380023,4434327,4814350,2208141,2689446,4897587,104099452.0,1106.0,61.8,66828.0,137.0,0.5415278224462962,46247.601764512656,47047.19290933443
Chandigarh,2476,211,36,2723,13133,70228,83361,49171,25311,74482,,,86.0,,167.0,0.6925677468761373,,
Chhattisgarh,82453,18769,1997,103219,165207,1840231,2005438,884555,1764179,2648734,25545198.0,189.0,70.3,166520.0,150.0,0.6177646628607861,78505.4787987942,103688.13739474636
Dadra And Nagar Haveli And Daman And Diu,1497,250,52,1799,1923,10281,12204,16362,22906,39268,,,,,,,,
Delhi,69183,22296,3050,94529,175535,1263399,1438934,556237,748125,1304362,,,86.2,,168.0,,,
Goa,1916,254,163,2333,3275,31845,35120,34244,34153,68397,1458545.0,394.0,88.7,567344.0,177.0,0.7373814841693953,24078.79084978523,46893.993671775635
Gujarat,193031,71182,16336,280549,208474,1615853,1824327,1460655,1735859,3196514,60439692.0,308.0,78.0,309691.0,158.0,0.6521034221976408,30184.253751657103,52887.66196889289
Haryana,88042,9110,1100,98252,139314,1026826,1166140,693667,941787,1635454,25351462.0,573.0,75.6,361993.0,154.0,0.639405017265452,45998.92503241036,64511.2301610061
Himachal Pradesh,16639,661,186,17486,19424,129790,149214,191566,204668,396234,6864602.0,123.0,82.8,276943.0,173.0,0.685273003377811,21736.72996628209,57721.33621148029
Jammu And Kashmir,40539,8022,535,49096,57873,349329,407202,420349,371298,791647,12541302.0,56.0,67.2,,140.0,,32468.877633279222,63123.19087762977
Jharkhand,98551,57539,1449,157539,99376,1301813,1401189,876613,1149684,2026297,32988134.0,414.0,66.4,115960.0,143.0,0.5788124326922491,42475.54590386956,61425.02634432127
Karnataka,179262,33863,10110,223235,264981,1430304,1695285,1244999,1390955,2635954,61095297.0,319.0,75.4,368085.0,155.0,0.6827005440802854,27748.207853052914,43144.95762251553
Kerala,53737,18590,2675,75002,61064,683888,744952,647939,961791,1609730,33406061.0,860.0,94.0,317723.0,188.0,0.7180058477911216,22299.905397406776,48186.76467123736
Ladakh,466,133,18,617,1375,4360,5735,2809,2954,5763,,,,,,,,
Lakshadweep,192,10,1,203,170,1006,1176,2226,2594,4820,,,91.8,,184.0,0.6905590602566891,,
Madhya Pradesh,367990,116381,9599,493970,407098,2505840,2912938,3200117,2723654,5923771,72626809.0,236.0,69.3,156381.0,147.0,0.603108306196794,40108.30215602616,81564.52254428527
Maharashtra,278814,82116,8209,369139,273322,4781280,5054602,3512712,5713427,9226139,112374333.0,365.0,82.3,318560.0,166.0,0.6769626384330897,44980.040059503626,82101.83547874763
Manipur,5140,8053,263,13456,41464,260085,301549,166465,116122,282587,2855794.0,128.0,76.9,125406.0,161.0,0.6367490081695439,105591.99998319206,98952.16531724627
Meghalaya,21179,53305,35287,109771,8426,78952,87378,36531,51095,87626,2966889.0,132.0,74.4,156326.0,161.0,0.533694009499832,29451.05125267578,29534.6404937967
Mizoram,4136,1295,495,5926,5302,36604,41906,85531,34798,120329,1097206.0,52.0,91.3,248908.0,182.0,0.6147889834967667,38193.37480837692,109668.55813766968
Nagaland,4512,9953,1122,15587,4314,32477,36791,32561,77032,109593,1978502.0,119.0,79.6,166369.0,165.0,0.5849048396307392,18595.38175852236,55391.90761495313
Odisha,99431,22817,739,122987,147499,964566,1112065,1211389,1253571,2464960,41974218.0,270.0,72.9,183767.0,156.0,0.6552531645705714,26494.001627379934,58725.57292193031
Puducherry,2778,195,44,3017,4696,28067,32763,27046,42862,69908,,,85.8,,169.0,0.7124975538395896,,
Punjab,61224,12350,3172,76746,56866,825029,881895,700157,1039514,1739671,27743338.0,551.0,75.8,227950.0,154.0,0.6838184904556438,31787.631322517864,62705.90078237883
Rajasthan,229780,113123,5555,348458,257224,2560391,2817615,2066747,1928208,3994955,68548437.0,200.0,66.1,187454.0,141.0,0.587611636900366,41104.00066452281,58279.301102080564
Sikkim,1054,1047,106,2207,1555,18785,20340,11932,10888,22820,610577.0,86.0,81.4,707181.0,168.0,0.6620829306154732,33312.75170862971,37374.48348038003
Tamil Nadu,182313,37227,1249,220789,315638,1896590,2212228,2227252,2470865,4698117,72147030.0,555.0,80.1,353483.0,161.0,0.7131750767981093,30662.772951291277,65118.6472956683
Telangana,105918,24505,1151,131574,242259,1387649,1629908,946497,791157,1737654,35193978.0,306.0,,393385.0,,,46312.127603193934,49373.61727054555
Tripura,7376,3654,255,11285,11791,126222,138013,147535,144620,292155,3673917.0,350.0,87.2,198379.0,179.0,0.6650941739252856,37565.62818376136,79521.39365151689
Uttar Pradesh,521045,479682,17902,1018629,790308,7752020,8542328,6207105,3370630,9577735,199812341.0,829.0,67.7,107468.0,141.0,0.5684229144255859,42751.75375679123,47933.65090497589
Uttarakhand,31880,5479,339,37698,49926,413716,463642,424441,340324,764765,10086292.0,189.0,78.8,295751.0,161.0,0.6220060132969416,45967.53693032087,75822.21494281547
West Bengal,1101680,365640,34040,1501360,485122,7260352,7745474,2081024,2968214,5049238,91276115.0,1028.0,76.3,171184.0,157.0,0.6702788404818832,84857.62129556018,55318.28343044618
